cusip,issueDate,securityType,securityTerm,maturityDate,interestRate,refCpiOnIssueDate,refCpiOnDatedDate,announcementDate,auctionDate,auctionDateYear,datedDate,accruedInterestPer1000,accruedInterestPer100,adjustedAccruedInterestPer1000,adjustedPrice,allocationPercentage,allocationPercentageDecimals,announcedCusip,auctionFormat,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,averageMedianDiscountMargin,averageMedianYield,backDated,backDatedDate,bidToCoverRatio,callDate,callable,calledDate,cashManagementBillCMB,closingTimeCompetitive,closingTimeNoncompetitive,competitiveAccepted,competitiveBidDecimals,competitiveTendered,competitiveTendersAccepted,corpusCusip,cpiBaseReferencePeriod,currentlyOutstanding,directBidderAccepted,directBidderTendered,estimatedAmountOfPubliclyHeldMaturingSecuritiesByType,fimaIncluded,fimaNoncompetitiveAccepted,fimaNoncompetitiveTendered,firstInterestPeriod,firstInterestPaymentDate,floatingRate,frnIndexDeterminationDate,frnIndexDeterminationRate,highDiscountRate,highInvestmentRate,highPrice,highDiscountMargin,highYield,indexRatioOnIssueDate,indirectBidderAccepted,indirectBidderTendered,interestPaymentFrequency,lowDiscountRate,lowInvestmentRate,lowPrice,lowDiscountMargin,lowYield,maturingDate,maximumCompetitiveAward,maximumNoncompetitiveAward,maximumSingleBid,minimumBidAmount,minimumStripAmount,minimumToIssue,multiplesToBid,multiplesToIssue,nlpExclusionAmount,nlpReportingThreshold,noncompetitiveAccepted,noncompetitiveTendersAccepted,offeringAmount,originalCusip,originalDatedDate,originalIssueDate,originalSecurityTerm,pdfFilenameAnnouncement,pdfFilenameCompetitiveResults,pdfFilenameNoncompetitiveResults,pdfFilenameSpecialAnnouncement,pricePer100,primaryDealerAccepted,primaryDealerTendered,reopening,securityTermDayMonth,securityTermWeekYear,series,somaAccepted,somaHoldings,somaIncluded,somaTendered,spread,standardInterestPaymentPer1000,strippable,term,tiinConversionFactorPer1000,tips,totalAccepted,totalTendered,treasuryRetailAccepted,treasuryRetailTendersAccepted,type,unadjustedAccruedInterestPer1000,unadjustedPrice,updatedTimestamp,xmlFilenameAnnouncement,xmlFilenameCompetitiveResults,xmlFilenameSpecialAnnouncement,tintCusip1,tintCusip2,tintCusip1DueDate,tintCusip2DueDate
912810US5,2026-08-31T00:00:00,Bond,29-Year 6-Month,2056-02-15T00:00:00,2.375000,333.989770,324.088000,2026-08-13T00:00:00,2026-08-20,2026,2026-08-15T00:00:00,,,1.0641600000,,,2,,Single-Price,,,,,,Yes,2026-08-15T00:00:00,,,No,,No,01:00 PM,12:00 PM,,3,,Yes,912803HU0,1982-1984=100,9000000000.000000,,,132370000000,Yes,,,Normal,2027-02-15T00:00:00,No,,,,,,,,1.030550,,,Semi-Annual,,,,,,2026-08-31T00:00:00,2800000000,10000000,2800000000,100,100,100,100,100,3200000000,2800000000,,Yes,8000000000,,2026-02-15T00:00:00,2026-02-27T00:00:00,30-Year,A_20260813_2.pdf,,,,,,,Yes,6-Month,29-Year,TIPS of February 2056,,26611000000,No,,,,Yes,30-Year,3.6641282610,Yes,,,,Yes,TIPS,1.032610,,2026-08-13T11:02:15,A_20260813_2.xml,,,,,,
912797VD6,2026-08-25T00:00:00,Bill,4-Week,2026-09-22T00:00:00,,,,2026-08-18T00:00:00,2026-08-20,2026,,,,,,,2,,Single-Price,,,,,,,,,,,,No,11:30 AM,11:00 AM,,3,,Yes,,,177686000000.000000,,,249368000000,Yes,,,,,No,,,,,,,,,,,None,,,,,,2026-08-25T00:00:00,38500000000,10000000,38500000000,100,,100,100,100,57400000000,38500000000,,Yes,110000000000,,,2026-05-26T00:00:00,17-Week,A_20260818_3.pdf,,,,,,,Yes,28-Day,4-Week,,,18011000000,No,,,,,4-Week,,No,,,,Yes,Bill,,,2026-08-18T11:02:18,A_20260818_3.xml,,,,,,
912797VM6,2026-08-25T00:00:00,Bill,8-Week,2026-10-20T00:00:00,,,,2026-08-18T00:00:00,2026-08-20,2026,,,,,,,2,,Single-Price,,,,,,,,,,,,No,11:30 AM,11:00 AM,,3,,Yes,,,73272000000.000000,,,249368000000,Yes,,,,,No,,,,,,,,,,,None,,,,,,2026-08-25T00:00:00,35000000000,10000000,35000000000,100,,100,100,100,23800000000,35000000000,,Yes,100000000000,,,2026-06-23T00:00:00,17-Week,A_20260818_1.pdf,,,,,,,Yes,56-Day,8-Week,,,18011000000,No,,,,,8-Week,,No,,,,Yes,Bill,,,2026-08-18T11:02:15,A_20260818_1.xml,,,,,,
912810UX4,2026-08-31T00:00:00,Bond,20-Year,2046-08-15T00:00:00,5.125000,,,2026-08-13T00:00:00,2026-08-19,2026,2026-08-15T00:00:00,2.2282600000,,,,65.580000,2,,Single-Price,,,,,5.147000,Yes,2026-08-15T00:00:00,2.530000,,No,,No,01:00 PM,12:00 PM,15809192000,3,40228372000,Yes,912803HY2,,,3886857900,5982000000,132370000000,Yes,0,0,Normal,2027-02-15T00:00:00,No,,,,,99.021288,,5.2040,,9947939100,12478372000,Semi-Annual,,,,,3.880000,2026-08-31T00:00:00,5600000000,10000000,5600000000,100,100,100,100,100,0,5600000000,190844500,Yes,16000000000,,,,20-Year,A_20260813_3.pdf,R_20260819_2.pdf,NCR_20260819_2.pdf,,99.021288,1974395000,21768000000,No,0-Month,20-Year,Bonds of August 2046,2056891600,26611000000,No,2056891600,,25.6250,Yes,20-Year,,No,18056928100,42476108100,60773500,Yes,Bond,,,2026-08-19T13:03:18,A_20260813_3.xml,R_20260819_2.xml,,,,,
912797WG8,2026-08-25T00:00:00,Bill,17-Week,2026-12-22T00:00:00,,,,2026-08-18T00:00:00,2026-08-19,2026,,,,,,25.880000,2,,Single-Price,3.730000,,,,,,,3.350000,,,,No,11:30 AM,11:00 AM,71122721400,3,239988167000,Yes,,,,4496357000,10336367000,249368000000,Yes,300000000,300000000,,,No,,,3.750000,3.850000,98.760417,,,,43232664400,83469800000,None,3.400000,,,,,2026-08-25T00:00:00,25200000000,10000000,25200000000,100,,100,100,100,0,25200000000,578493600,Yes,72000000000,,,,17-Week,A_20260818_2.pdf,R_20260819_1.pdf,NCR_20260819_1.pdf,,98.760417,23393700000,146182000000,No,119-Day,17-Week,,4598494600,18011000000,No,4598494600,,,,17-Week,,No,76599709600,245465155200,400818600,Yes,Bill,,,2026-08-19T11:33:20,A_20260818_2.xml,R_20260819_1.xml,,,,,
912797SA6,2026-08-20T00:00:00,Bill,6-Week,2026-10-01T00:00:00,,,,2026-08-13T00:00:00,2026-08-18,2026,,,,,,37.040000,2,,Single-Price,3.625000,,,,,,,2.970000,,,,No,11:30 AM,11:00 AM,91880758400,3,279298900000,Yes,,,232189000000.000000,4343520000,12625000000,250214000000,Yes,1900000000,1900000000,,,No,,,3.645000,3.711000,99.574750,,,,60207838400,87093900000,None,3.540000,,,,,2026-08-20T00:00:00,33250000000,10000000,33250000000,100,,100,100,100,73200000000,33250000000,1219271900,Yes,95000000000,,,2025-10-02T00:00:00,52-Week,A_20260813_5.pdf,R_20260818_1.pdf,NCR_20260818_1.pdf,,99.574750,27329400000,179580000000,Yes,42-Day,6-Week,,6944512000,19445000000,No,6944512000,,,,6-Week,,No,101944542300,289362683900,713758900,Yes,Bill,,,2026-08-18T11:33:21,A_20260813_5.xml,R_20260818_1.xml,,,,,
912797UZ8,2026-08-20T00:00:00,Bill,13-Week,2026-11-19T00:00:00,,,,2026-08-13T00:00:00,2026-08-17,2026,,,,,,44.680000,2,,Single-Price,3.690000,,,,,,,2.860000,,,,No,11:30 AM,11:00 AM,89426768100,3,260252861100,Yes,,,81643000000.000000,6074000000,14174000000,250214000000,Yes,800000000,800000000,,,No,,,3.715000,3.802000,99.060931,,,,48135888100,67286861100,None,3.550000,,,,,2026-08-20T00:00:00,32200000000,10000000,32200000000,100,,100,100,100,26600000000,32200000000,1773884200,Yes,92000000000,,,2026-05-21T00:00:00,26-Week,A_20260813_4.pdf,R_20260817_1.pdf,NCR_20260817_1.pdf,,99.060931,35216880000,178792000000,Yes,91-Day,13-Week,,6725211600,19445000000,No,6725211600,,,,13-Week,,No,98725863900,269551956900,920012900,Yes,Bill,,,2026-08-17T11:33:22,A_20260813_4.xml,R_20260817_1.xml,,,,,
912797TV9,2026-08-20T00:00:00,Bill,26-Week,2027-02-18T00:00:00,,,,2026-08-13T00:00:00,2026-08-17,2026,,,,,,18.550000,2,,Single-Price,3.760000,,,,,,,2.970000,,,,No,11:30 AM,11:00 AM,76981389000,3,232755552000,Yes,,,52280000000.000000,8072387500,14775000000,250214000000,Yes,100000000,100000000,,,No,,,3.780000,3.907000,98.089000,,,,49934964000,69526552000,None,3.685000,,,,,2026-08-20T00:00:00,27650000000,10000000,27650000000,100,,100,100,100,15400000000,27650000000,1919073400,Yes,79000000000,,,2026-02-19T00:00:00,52-Week,A_20260813_1.pdf,R_20260817_2.pdf,NCR_20260817_2.pdf,,98.089000,18974037500,148454000000,Yes,182-Day,26-Week,,5774909900,19445000000,No,5774909900,,,,26-Week,,No,84775372300,240549535300,931395100,Yes,Bill,,,2026-08-17T11:33:23,A_20260813_1.xml,R_20260817_2.xml,,,,,
912797VC8,2026-08-18T00:00:00,Bill,4-Week,2026-09-15T00:00:00,,,,2026-08-11T00:00:00,2026-08-13,2026,,,,,,79.230000,2,,Single-Price,3.590000,,,,,,,2.770000,,,,No,11:30 AM,11:00 AM,102197112000,3,297190817000,Yes,,,177761000000.000000,8079230000,16950000000,244638000000,Yes,2000000000,2000000000,,,No,,,3.625000,3.686000,99.718056,,,,58360242000,77130817000,None,3.500000,,,,,2026-08-18T00:00:00,38500000000,10000000,38500000000,100,,100,100,100,58300000000,38500000000,5803113300,Yes,110000000000,,,2026-05-19T00:00:00,17-Week,A_20260811_2.pdf,R_20260813_2.pdf,NCR_20260813_1.pdf,,99.718056,35757640000,203110000000,Yes,28-Day,4-Week,,8172144200,20950000000,No,8172144200,,,,4-Week,,No,118172369500,313166074500,4652342900,Yes,Bill,,,2026-08-13T11:33:12,A_20260811_2.xml,R_20260813_2.xml,,,,,
912797VL8,2026-08-18T00:00:00,Bill,8-Week,2026-10-13T00:00:00,,,,2026-08-11T00:00:00,2026-08-13,2026,,,,,,36.840000,2,,Single-Price,3.635000,,,,,,,2.850000,,,,No,11:30 AM,11:00 AM,97688245000,3,282304065000,Yes,,,73615000000.000000,5911840000,14025000000,244638000000,Yes,1000000000,1000000000,,,No,,,3.665000,3.737000,99.429889,,,,55201845000,77228065000,None,3.560000,,,,,2026-08-18T00:00:00,35000000000,10000000,35000000000,100,,100,100,100,22300000000,35000000000,1311859600,Yes,100000000000,,,2026-06-16T00:00:00,17-Week,A_20260811_1.pdf,R_20260813_1.pdf,NCR_20260813_2.pdf,,99.429889,36574560000,191051000000,Yes,56-Day,8-Week,,7429221900,20950000000,No,7429221900,,,,8-Week,,No,107429326500,292045146500,838164600,Yes,Bill,,,2026-08-13T11:33:13,A_20260811_1.xml,R_20260813_1.xml,,,,,
912810UW6,2026-08-17T00:00:00,Bond,30-Year,2056-08-15T00:00:00,5.125000,,,2026-08-05T00:00:00,2026-08-13,2026,2026-08-15T00:00:00,0.2785300000,,,,12.100000,2,,Single-Price,,,,,5.150000,Yes,2026-08-15T00:00:00,2.390000,,No,,No,01:00 PM,12:00 PM,24904608000,3,59705603000,Yes,912803HX4,,,5390150000,8462400000,96267000000,Yes,0,0,Normal,2027-02-15T00:00:00,No,,,,,98.627017,,5.2160,,16647723000,19301203000,Semi-Annual,,,,,4.880000,2026-08-15T00:00:00,8750000000,10000000,8750000000,100,100,100,100,100,0,8750000000,95407300,Yes,25000000000,,,,30-Year,A_20260805_2.pdf,R_20260813_3.pdf,NCR_20260813_3.pdf,,98.627017,2866735000,31942000000,No,0-Month,30-Year,Bonds of August 2056,6323518500,31618000000,No,6323518500,,25.6250,Yes,30-Year,,No,31323533800,66124528800,24727300,Yes,Bond,,,2026-08-13T13:03:22,A_20260805_2.xml,R_20260813_3.xml,,912834L48,,,
912797WF0,2026-08-18T00:00:00,Bill,17-Week,2026-12-15T00:00:00,,,,2026-08-11T00:00:00,2026-08-12,2026,,,,,,9.140000,2,,Single-Price,3.740000,,,,,,,3.160000,,,,No,11:30 AM,11:00 AM,71392040000,3,227254945000,Yes,,,,4727420000,12000000000,244638000000,Yes,100000000,100000000,,,No,,,3.755000,3.855000,98.758764,,,,44454255000,69372945000,None,3.680000,,,,,2026-08-18T00:00:00,25200000000,10000000,25200000000,100,,100,100,100,0,25200000000,509286400,Yes,72000000000,,,,17-Week,A_20260811_3.pdf,R_20260812_1.pdf,NCR_20260812_1.pdf,,98.758764,22210365000,145882000000,No,119-Day,17-Week,,5349039700,20950000000,No,5349039700,,,,17-Week,,No,77350366100,233213271100,344917400,Yes,Bill,,,2026-08-12T11:33:21,A_20260811_3.xml,R_20260812_1.xml,,,,,
91282CRF0,2026-08-17T00:00:00,Note,10-Year,2036-08-15T00:00:00,4.625000,,,2026-08-05T00:00:00,2026-08-12,2026,2026-08-15T00:00:00,0.2513600000,,,,65.270000,2,,Single-Price,,,,,4.630000,Yes,2026-08-15T00:00:00,2.530000,,No,,No,01:00 PM,12:00 PM,41821613600,3,106155266000,Yes,912821UZ6,,,6135867600,10697600000,96267000000,Yes,0,0,Normal,2027-02-15T00:00:00,No,,,,,99.540696,,4.6830,,32087936000,37281666000,Semi-Annual,,,,,4.570000,2026-08-15T00:00:00,14700000000,10000000,14700000000,100,100,100,100,100,0,14700000000,178432300,Yes,42000000000,,,,10-Year,A_20260805_1.pdf,R_20260812_2.pdf,NCR_20260812_2.pdf,,99.540696,3597810000,58176000000,No,0-Month,10-Year,E-2036,10623511200,31618000000,No,10623511200,,23.1250,Yes,10-Year,,No,52623557100,116957209500,57449200,Yes,Note,,,2026-08-12T13:03:16,A_20260805_1.xml,R_20260812_2.xml,,,,,
91282CRG8,2026-08-17T00:00:00,Note,3-Year,2029-08-15T00:00:00,4.250000,,,2026-08-05T00:00:00,2026-08-11,2026,2026-08-15T00:00:00,0.2309800000,,,,18.310000,2,,Single-Price,,,,,4.243000,Yes,2026-08-15T00:00:00,2.710000,,No,,No,01:00 PM,12:00 PM,57400241500,3,156700220000,Yes,912821UY9,,,13788100000,22506600000,96267000000,Yes,250000000,250000000,Normal,2027-02-15T00:00:00,No,,,,,99.885444,,4.2910,,36872620000,47829620000,Semi-Annual,,,,,3.880000,2026-08-15T00:00:00,20300000000,10000000,20300000000,100,100,100,100,100,0,20300000000,349775600,Yes,58000000000,,,,3-Year,A_20260805_3.pdf,R_20260811_2.pdf,NCR_20260811_2.pdf,,99.885444,6739521500,86364000000,No,0-Month,3-Year,AR-2029,14670563200,31618000000,No,14670563200,,21.2500,Yes,3-Year,,No,72670580300,171970558800,114383400,Yes,Note,,,2026-08-11T13:03:20,A_20260805_3.xml,R_20260811_2.xml,,,,,
912797UH8,2026-08-13T00:00:00,Bill,6-Week,2026-09-24T00:00:00,,,,2026-08-06T00:00:00,2026-08-11,2026,,,,,,2.860000,2,,Single-Price,3.640000,,,,,,,2.930000,,,,No,11:30 AM,11:00 AM,91649510200,3,274703118000,Yes,,,175923000000.000000,2902860000,10600000000,245134000000,Yes,2000000000,2000000000,,,No,,,3.670000,3.737000,99.571833,,,,65303234200,90423118000,None,3.550000,,,,,2026-08-13T00:00:00,33250000000,10000000,33250000000,100,,100,100,100,57800000000,33250000000,1351534300,Yes,95000000000,,,2026-03-26T00:00:00,26-Week,A_20260806_1.pdf,R_20260811_1.pdf,NCR_20260811_1.pdf,,99.571833,23443416000,173680000000,Yes,42-Day,6-Week,,5755039300,16114000000,No,5755039300,,,,6-Week,,No,100756083800,283809691600,776390300,Yes,Bill,,,2026-08-11T11:33:13,A_20260806_1.xml,R_20260811_1.xml,,,,,
912797UY1,2026-08-13T00:00:00,Bill,13-Week,2026-11-12T00:00:00,,,,2026-08-06T00:00:00,2026-08-10,2026,,,,,,82.940000,2,,Single-Price,3.710000,,,,,,,2.880000,,,,No,11:30 AM,11:00 AM,89404921900,3,262475342900,Yes,,,81826000000.000000,6085000000,13835000000,245134000000,Yes,700000000,700000000,,,No,,,3.735000,3.823000,99.055875,,,,51166471900,72793342900,None,3.600000,,,,,2026-08-13T00:00:00,32200000000,10000000,32200000000,100,,100,100,100,27000000000,32200000000,1895673000,Yes,92000000000,,,2026-05-14T00:00:00,26-Week,A_20260806_2.pdf,R_20260810_2.pdf,NCR_20260810_2.pdf,,99.055875,32153450000,175847000000,Yes,91-Day,13-Week,,5573301100,16114000000,No,5573301100,,,,13-Week,,No,97573896000,270644317000,997702000,Yes,Bill,,,2026-08-10T11:33:21,A_20260806_2.xml,R_20260810_2.xml,,,,,
912797WB9,2026-08-13T00:00:00,Bill,26-Week,2027-02-11T00:00:00,,,,2026-08-06T00:00:00,2026-08-10,2026,,,,,,96.110000,2,,Single-Price,3.805000,,,,,,,2.850000,,,,No,11:30 AM,11:00 AM,77207406300,3,223291730000,Yes,,,,6858027500,13784000000,245134000000,Yes,0,0,,,No,,,3.830000,3.960000,98.063722,,,,42047383800,55993730000,None,3.750000,,,,,2026-08-13T00:00:00,27650000000,10000000,27650000000,100,,100,100,100,0,27650000000,1792747600,Yes,79000000000,,,,26-Week,A_20260806_3.pdf,R_20260810_1.pdf,NCR_20260810_1.pdf,,98.063722,28301995000,153514000000,No,182-Day,26-Week,,4785769400,16114000000,No,4785769400,,,,26-Week,,No,83785923300,229870247000,1012139800,Yes,Bill,,,2026-08-10T11:33:22,A_20260806_3.xml,R_20260810_1.xml,,,,,
912797VB0,2026-08-11T00:00:00,Bill,4-Week,2026-09-08T00:00:00,,,,2026-08-04T00:00:00,2026-08-06,2026,,,,,,72.820000,2,,Single-Price,3.605000,,,,,,,2.680000,,,,No,11:30 AM,11:00 AM,102101639700,3,286690179700,Yes,,,170522000000.000000,4109230000,12450000000,242852000000,Yes,1900000000,1900000000,,,No,,,3.640000,3.701000,99.716889,,,,57005789700,63990179700,None,3.530000,,,,,2026-08-11T00:00:00,38500000000,10000000,38500000000,100,,100,100,100,56400000000,38500000000,5998370300,Yes,110000000000,,,2026-05-12T00:00:00,17-Week,A_20260804_3.pdf,R_20260806_2.pdf,NCR_20260806_1.pdf,,99.716889,40986620000,210250000000,Yes,28-Day,4-Week,,5124226400,13137000000,No,5124226400,,,,4-Week,,No,115124236400,299712776400,4764039800,Yes,Bill,,,2026-08-06T11:33:24,A_20260804_3.xml,R_20260806_2.xml,,,,,
912797VK0,2026-08-11T00:00:00,Bill,8-Week,2026-10-06T00:00:00,,,,2026-08-04T00:00:00,2026-08-06,2026,,,,,,17.930000,2,,Single-Price,3.675000,,,,,,,2.740000,,,,No,11:30 AM,11:00 AM,97263348300,3,271626140000,Yes,,,72707000000.000000,6172412500,14225000000,242852000000,Yes,1500000000,1500000000,,,No,,,3.710000,3.783000,99.422889,,,,52872335800,68191140000,None,3.595000,,,,,2026-08-11T00:00:00,35000000000,10000000,35000000000,100,,100,100,100,24200000000,35000000000,1237450200,Yes,100000000000,,,2026-06-09T00:00:00,17-Week,A_20260804_2.pdf,R_20260806_1.pdf,NCR_20260806_2.pdf,,99.422889,38218600000,189210000000,Yes,56-Day,8-Week,,4658387700,13137000000,No,4658387700,,,,8-Week,,No,104659186200,279021977900,770329200,Yes,Bill,,,2026-08-06T11:33:23,A_20260804_2.xml,R_20260806_1.xml,,,,,
912797WE3,2026-08-11T00:00:00,Bill,17-Week,2026-12-08T00:00:00,,,,2026-08-04T00:00:00,2026-08-05,2026,,,,,,94.660000,2,,Single-Price,3.765000,,,,,,,3.190000,,,,No,11:30 AM,11:00 AM,71232689800,3,228659415000,Yes,,,,4398665000,10211400000,242852000000,Yes,100000000,100000000,,,No,,,3.785000,3.886000,98.748847,,,,45987714800,75533015000,None,3.685000,,,,,2026-08-11T00:00:00,25200000000,10000000,25200000000,100,,100,100,100,0,25200000000,667521900,Yes,72000000000,,,,17-Week,A_20260804_1.pdf,R_20260805_1.pdf,NCR_20260805_1.pdf,,98.748847,20846310000,142915000000,No,119-Day,17-Week,,3354039000,13137000000,No,3354039000,,,,17-Week,,No,75354250700,232780975900,442842900,Yes,Bill,,,2026-08-05T11:33:17,A_20260804_1.xml,R_20260805_1.xml,,,,,
